"OTU","Bin"
"OTU928",35
"OTU3122",35
"OTU1183",35
"OTU925",35
"OTU1036",35
"OTU769",35
"OTU1387",35
"OTU1264",35
"OTU2368",35
"OTU1402",35
"OTU1003",35
"OTU836",35
"OTU2341",35
"OTU2563",35
"OTU728",35
"OTU2354",35
"OTU1646",35
"OTU1479",35
"OTU814",35
"OTU1128",35
"OTU536",35
"OTU2363",35
"OTU593",35
"OTU3041",35
"OTU1020",36
"OTU133",36
"OTU250",36
"OTU359",36
"OTU713",36
"OTU1265",36
"OTU2377",36
"OTU762",36
"OTU2442",36
"OTU1393",36
"OTU2613",36
"OTU147",36
"OTU3288",36
"OTU3332",36
"OTU2673",36
"OTU561",36
"OTU1398",36
"OTU2436",36
"OTU646",36
"OTU649",36
"OTU1795",36
"OTU1808",36
"OTU3028",36
"OTU2398",36
"OTU2004",36
"OTU1055",36
"OTU3039",36
"OTU1217",37
"OTU1500",37
"OTU2556",37
"OTU1442",37
"OTU633",37
"OTU1171",37
"OTU2364",37
"OTU932",37
"OTU1101",37
"OTU1460",37
"OTU2823",37
"OTU3107",37
"OTU1205",37
"OTU3170",37
"OTU1228",37
"OTU3046",37
"OTU796",37
"OTU2468",37
"OTU2457",37
"OTU3218",37
"OTU834",37
"OTU2276",37
"OTU2303",37
"OTU3097",37
"OTU2068",37
"OTU1444",37
"OTU439",38
"OTU940",38
"OTU495",38
"OTU1955",38
"OTU94",38
"OTU1916",38
"OTU1783",38
"OTU1970",38
"OTU3020",38
"OTU1862",38
"OTU2352",38
"OTU1635",38
"OTU3054",38
"OTU1103",38
"OTU3158",38
"OTU3330",38
"OTU2013",38
"OTU874",38
"OTU1474",38
"OTU1243",38
"OTU1193",38
"OTU2698",38
"OTU787",38
"OTU1411",38
"OTU1173",38
"OTU2911",38
"OTU1466",38
"OTU1855",38
"OTU1147",38
"OTU3287",38
"OTU851",38
"OTU2807",38
"OTU652",39
"OTU2559",39
"OTU2566",39
"OTU692",39
"OTU799",39
"OTU1104",39
"OTU1211",39
"OTU481",39
"OTU2708",39
"OTU780",39
"OTU2271",39
"OTU1304",39
"OTU1179",39
"OTU555",39
"OTU1313",39
"OTU1317",39
"OTU530",39
"OTU1167",39
"OTU998",39
"OTU112",39
"OTU2405",39
"OTU1059",39
"OTU869",39
"OTU2618",39
"OTU1186",39
"OTU2200",39
